epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,4712.44,0.13422,0.43831,1.21039,0.97832,0.98625,0.99151,0.99075,0.22119,0.54294,0.54011,9.5405e-05,9.5405e-05,9.5405e-05
83,4770.43,0.13436,0.44208,1.20911,0.98587,0.98119,0.99224,0.99214,0.22281,0.51124,0.54452,9.041e-05,9.041e-05,9.041e-05
84,4828.21,0.13447,0.45721,1.20527,0.97858,0.97773,0.99079,0.99049,0.2452,0.52039,0.5672,8.5415e-05,8.5415e-05,8.5415e-05
85,4893.13,0.1296,0.43438,1.20785,0.98452,0.98209,0.99091,0.99089,0.23563,0.5279,0.55301,8.042e-05,8.042e-05,8.042e-05
86,4962.86,0.08423,0.18238,1.16655,0.96823,0.99216,0.99286,0.99212,0.24848,0.56653,0.56595,7.5425e-05,7.5425e-05,7.5425e-05
87,5030.96,0.08282,0.17841,1.16665,0.96565,0.99216,0.9921,0.99151,0.25058,0.61021,0.5724,7.043e-05,7.043e-05,7.043e-05
88,5097.28,0.08265,0.17533,1.17058,0.97488,0.9908,0.99319,0.9927,0.22987,0.61833,0.53725,6.5435e-05,6.5435e-05,6.5435e-05
89,5163.78,0.07916,0.17214,1.16804,0.98019,0.97065,0.99189,0.99128,0.2277,0.53737,0.53944,6.044e-05,6.044e-05,6.044e-05
90,5230.52,0.08214,0.17726,1.15702,0.98611,0.97227,0.99223,0.9921,0.2404,0.53556,0.55794,5.5445e-05,5.5445e-05,5.5445e-05
91,5296.31,0.07897,0.16844,1.15757,0.98224,0.97818,0.99279,0.9927,0.21697,0.50314,0.54138,5.045e-05,5.045e-05,5.045e-05
92,5362.58,0.07782,0.16196,1.16108,0.98114,0.9721,0.99216,0.99208,0.22292,0.52461,0.54751,4.5455e-05,4.5455e-05,4.5455e-05
93,5428.67,0.07604,0.16704,1.14603,0.9772,0.9878,0.99251,0.99237,0.21719,0.4934,0.53755,4.046e-05,4.046e-05,4.046e-05
94,5494.82,0.07831,0.17462,1.16453,0.97742,0.9768,0.99279,0.99258,0.22296,0.52012,0.54691,3.5465e-05,3.5465e-05,3.5465e-05
95,5560.59,0.07316,0.15773,1.15563,0.97253,0.98716,0.99287,0.9925,0.21709,0.50453,0.53835,3.047e-05,3.047e-05,3.047e-05
96,5626.1,0.07247,0.1592,1.16323,0.98435,0.98209,0.99335,0.99316,0.20979,0.46914,0.52593,2.5475e-05,2.5475e-05,2.5475e-05
97,5885.54,0.07031,0.15191,1.16212,0.96951,0.99028,0.99256,0.99222,0.21382,0.50375,0.52909,2.048e-05,2.048e-05,2.048e-05
98,5948.66,0.06885,0.14581,1.15222,0.97339,0.98038,0.99226,0.99206,0.21935,0.50687,0.53166,1.5485e-05,1.5485e-05,1.5485e-05
99,6012.1,0.06775,0.14783,1.15014,0.96854,0.98875,0.99219,0.99197,0.21286,0.49953,0.52519,1.049e-05,1.049e-05,1.049e-05
100,6075.69,0.06733,0.14177,1.15699,0.97158,0.98685,0.9923,0.99219,0.21087,0.50068,0.52281,5.495e-06,5.495e-06,5.495e-06
